schedule_id,staff_id,staff_name,role,shift_date,shift_start,shift_end,assigned_unit,assigned_area
SCH00000024,STF7927, Williams,Physical Therapist,2026-01-12,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000025,STF7704,Nurse Williams,RN,2026-01-12,15:00,23:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000026,STF4104,Dr. Brown,Pharmacist,2026-01-12,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000027,STF1684, Johnson,Pharmacist,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000028,STF2155,Nurse Smith,LPN,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000029,STF4004, Williams,Respiratory Therapist,2026-01-12,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000030,STF7524,Nurse Jones,Resident,2026-01-12,23:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000031,STF5284,Dr. Smith,LPN,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000032,STF9158,Dr. Brown,Physician,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000033,STF8844,Dr. Brown,LPN,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000034,STF2369, Williams,LPN,2026-01-12,19:00,07:00,Pediatrics,Pediatrics - Zone B
SCH00000035,STF8177,Dr. Jones,CNA,2026-01-12,15:00,23:00,Pediatrics,Pediatrics - Zone C
SCH00000036,STF4096, Smith,Physician,2026-01-12,07:00,15:00,Pediatrics,Pediatrics - Zone A
SCH00000037,STF3502,Nurse Brown,PA,2026-01-12,07:00,15:00,Pediatrics,Pediatrics - Zone A
SCH00000038,STF4287,Dr. Williams,RN,2026-01-12,15:00,23:00,Pediatrics,Pediatrics - Zone B
SCH00000039,STF9283, Johnson,LPN,2026-01-12,19:00,07:00,Pediatrics,Pediatrics - Zone A
SCH00000040,STF6503,Dr. Johnson,Pharmacist,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone B
SCH00000041,STF9659,Dr. Jones,Resident,2026-01-12,23:00,07:00,Pediatrics,Pediatrics - Zone A
SCH00000042,STF6202,Dr. Brown,RN,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000043,STF9487, Johnson,Respiratory Therapist,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000044,STF6270,Dr. Johnson,PA,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone A
SCH00000045,STF1096,Dr. Brown,NP,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000046,STF2960, Smith,Physician,2026-01-12,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000047,STF1324,Nurse Williams,Pharmacist,2026-01-12,23:00,07:00,Pediatrics,Pediatrics - Zone C
SCH00000048,STF7336,Nurse Jones,Pharmacist,2026-01-12,19:00,07:00,Pediatrics,Pediatrics - Zone C
SCH00000049,STF6654,Nurse Jones,Pharmacist,2026-01-12,15:00,23:00,Emergency Department,Emergency Department - Zone A
SCH00000050,STF6900, Johnson,Physician,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000051,STF7364, Smith,Resident,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000052,STF8073,Nurse Brown,Resident,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000053,STF9871, Williams,Physician,2026-01-12,15:00,23:00,Emergency Department,Emergency Department - Zone A
SCH00000054,STF4409,Nurse Brown,NP,2026-01-12,15:00,23:00,Emergency Department,Emergency Department - Zone B
SCH00000055,STF8272,Nurse Williams,NP,2026-01-12,15:00,23:00,Emergency Department,Emergency Department - Zone B
SCH00000056,STF7535,Dr. Johnson,CNA,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000057,STF4128, Jones,Physical Therapist,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000058,STF6954,Nurse Williams,Pharmacist,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000059,STF4498,Dr. Jones,NP,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000060,STF8410,Dr. Johnson,Resident,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000061,STF4558, Brown,PA,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000062,STF9478,Dr. Johnson,NP,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000063,STF7323, Jones,Physical Therapist,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000064,STF3553,Dr. Brown,NP,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000065,STF6185,Dr. Brown,Pharmacist,2026-01-12,19:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000066,STF6180, Smith,Physical Therapist,2026-01-12,23:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000067,STF2070,Dr. Williams,LPN,2026-01-12,07:00,19:00,Telemetry,Telemetry - Zone A
SCH00000068,STF2473, Johnson,PA,2026-01-12,07:00,15:00,Telemetry,Telemetry - Zone A
SCH00000069,STF4489, Williams,Resident,2026-01-12,07:00,19:00,Telemetry,Telemetry - Zone B
SCH00000070,STF8317,Dr. Williams,Pharmacist,2026-01-12,07:00,15:00,Telemetry,Telemetry - Zone C
SCH00000071,STF5968,Dr. Johnson,LPN,2026-01-12,23:00,07:00,Telemetry,Telemetry - Zone A
SCH00000072,STF7802,Nurse Johnson,LPN,2026-01-12,23:00,07:00,Telemetry,Telemetry - Zone C
SCH00000073,STF8693, Johnson,Resident,2026-01-12,19:00,07:00,Telemetry,Telemetry - Zone A
SCH00000074,STF8289,Nurse Brown,LPN,2026-01-12,07:00,19:00,Telemetry,Telemetry - Zone A
SCH00000075,STF7215, Williams,Pharmacist,2026-01-12,19:00,07:00,Telemetry,Telemetry - Zone A
SCH00000076,STF8224,Nurse Smith,Physical Therapist,2026-01-12,23:00,07:00,Telemetry,Telemetry - Zone A
SCH00000077,STF9057,Dr. Williams,Physical Therapist,2026-01-12,07:00,15:00,Telemetry,Telemetry - Zone B
SCH00000078,STF2128,Nurse Brown,CNA,2026-01-12,19:00,07:00,Telemetry,Telemetry - Zone C
SCH00000079,STF3449,Nurse Williams,LPN,2026-01-12,19:00,07:00,Telemetry,Telemetry - Zone C
SCH00000080,STF6811, Jones,Physical Therapist,2026-01-12,15:00,23:00,Oncology,Oncology - Zone A
SCH00000081,STF7844,Dr. Jones,CNA,2026-01-12,07:00,15:00,Oncology,Oncology - Zone B
SCH00000082,STF5591,Nurse Johnson,Respiratory Therapist,2026-01-12,07:00,19:00,Oncology,Oncology - Zone B
SCH00000083,STF1852,Nurse Brown,Physician,2026-01-12,07:00,15:00,Oncology,Oncology - Zone B
SCH00000084,STF6529, Brown,RN,2026-01-12,07:00,15:00,Oncology,Oncology - Zone C
SCH00000085,STF2314,Dr. Jones,PA,2026-01-12,23:00,07:00,Oncology,Oncology - Zone A
SCH00000086,STF1174,Nurse Johnson,Physical Therapist,2026-01-12,07:00,19:00,Oncology,Oncology - Zone B
SCH00000087,STF8702, Williams,NP,2026-01-12,15:00,23:00,Oncology,Oncology - Zone A
SCH00000088,STF7146,Nurse Brown,PA,2026-01-12,07:00,15:00,Oncology,Oncology - Zone C
SCH00000089,STF6605,Nurse Jones,CNA,2026-01-12,07:00,15:00,Oncology,Oncology - Zone C
SCH00000090,STF4160,Dr. Brown,Pharmacist,2026-01-12,07:00,15:00,Oncology,Oncology - Zone B
SCH00000091,STF2389,Dr. Johnson,PA,2026-01-12,23:00,07:00,Oncology,Oncology - Zone A
SCH00000092,STF4980,Dr. Johnson,LPN,2026-01-12,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000093,STF4882, Smith,LPN,2026-01-12,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000094,STF6589, Brown,Physical Therapist,2026-01-12,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000095,STF6421,Dr. Johnson,LPN,2026-01-12,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000096,STF4268, Smith,LPN,2026-01-12,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000097,STF1062,Dr. Smith,NP,2026-01-12,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000098,STF7338,Nurse Johnson,PA,2026-01-12,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000099,STF9115,Nurse Jones,Physical Therapist,2026-01-12,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000100,STF2003,Dr. Smith,Pharmacist,2026-01-12,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone C
SCH00000101,STF3881, Jones,Physician,2026-01-12,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000102,STF4102,Dr. Williams,LPN,2026-01-12,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000103,STF4730, Williams,CNA,2026-01-12,15:00,23:00,Step-Down Unit,Step-Down Unit - Zone C
SCH00000104,STF7754,Nurse Williams,Respiratory Therapist,2026-01-12,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000105,STF4944, Williams,Respiratory Therapist,2026-01-13,07:00,19:00,ICU,ICU - Zone C
SCH00000106,STF5611,Dr. Brown,CNA,2026-01-13,07:00,19:00,ICU,ICU - Zone A
SCH00000107,STF6639,Dr. Brown,RN,2026-01-13,23:00,07:00,ICU,ICU - Zone B
SCH00000108,STF1196,Nurse Jones,LPN,2026-01-13,07:00,15:00,ICU,ICU - Zone C
SCH00000109,STF2079,Nurse Brown,Physical Therapist,2026-01-13,07:00,15:00,ICU,ICU - Zone C
SCH00000110,STF6867,Nurse Brown,Pharmacist,2026-01-13,07:00,15:00,ICU,ICU - Zone B
SCH00000111,STF6135, Johnson,Respiratory Therapist,2026-01-13,19:00,07:00,ICU,ICU - Zone A
SCH00000112,STF1699,Nurse Williams,PA,2026-01-13,15:00,23:00,ICU,ICU - Zone B
SCH00000113,STF7606,Dr. Johnson,Pharmacist,2026-01-13,15:00,23:00,ICU,ICU - Zone B
SCH00000114,STF7317,Nurse Brown,NP,2026-01-13,07:00,19:00,ICU,ICU - Zone A
SCH00000115,STF3447,Nurse Johnson,NP,2026-01-13,07:00,15:00,ICU,ICU - Zone A
SCH00000116,STF3474,Dr. Smith,Physical Therapist,2026-01-13,19:00,07:00,ICU,ICU - Zone A
SCH00000117,STF7410,Nurse Johnson,Pharmacist,2026-01-13,19:00,07:00,ICU,ICU - Zone B
SCH00000118,STF1355,Nurse Jones,Pharmacist,2026-01-13,15:00,23:00,ICU,ICU - Zone A
SCH00000119,STF5549, Brown,Physician,2026-01-13,19:00,07:00,ICU,ICU - Zone B
SCH00000120,STF8091, Smith,NP,2026-01-13,19:00,07:00,ICU,ICU - Zone B
SCH00000121,STF6789, Brown,LPN,2026-01-13,07:00,19:00,ICU,ICU - Zone B
SCH00000122,STF5740,Nurse Johnson,CNA,2026-01-13,19:00,07:00,ICU,ICU - Zone C
SCH00000123,STF7821, Johnson,Pharmacist,2026-01-13,07:00,19:00,ICU,ICU - Zone B
SCH00000124,STF6547, Smith,Resident,2026-01-13,23:00,07:00,ICU,ICU - Zone B
SCH00000125,STF3120, Williams,Respiratory Therapist,2026-01-13,07:00,15:00,ICU,ICU - Zone B
SCH00000126,STF7054,Dr. Brown,Physical Therapist,2026-01-13,15:00,23:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000127,STF7062,Nurse Johnson,NP,2026-01-13,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000128,STF6120,Nurse Jones,Pharmacist,2026-01-13,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000129,STF6424, Jones,Physician,2026-01-13,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000130,STF4750,Dr. Brown,Physical Therapist,2026-01-13,23:00,07:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000131,STF8696,Dr. Brown,RN,2026-01-13,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000132,STF3430, Brown,Physical Therapist,2026-01-13,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000133,STF8580,Nurse Brown,Physical Therapist,2026-01-13,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000134,STF4165,Dr. Brown,Resident,2026-01-13,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000135,STF5040,Nurse Jones,Physician,2026-01-13,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000136,STF8906,Nurse Brown,Respiratory Therapist,2026-01-13,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000137,STF6147, Johnson,Physical Therapist,2026-01-13,23:00,07:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000138,STF2972,Dr. Jones,Resident,2026-01-13,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000139,STF9259,Nurse Smith,Resident,2026-01-13,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000140,STF5276,Dr. Smith,Physician,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone B
SCH00000141,STF7904,Dr. Brown,LPN,2026-01-13,07:00,15:00,Pediatrics,Pediatrics - Zone B
SCH00000142,STF7259,Nurse Williams,Respiratory Therapist,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone C
SCH00000143,STF2765,Dr. Jones,Resident,2026-01-13,15:00,23:00,Pediatrics,Pediatrics - Zone B
SCH00000144,STF8427,Dr. Williams,Resident,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone C
SCH00000145,STF1277, Brown,LPN,2026-01-13,07:00,19:00,Pediatrics,Pediatrics - Zone B
SCH00000146,STF7042,Nurse Jones,CNA,2026-01-13,07:00,15:00,Pediatrics,Pediatrics - Zone C
SCH00000147,STF1417,Dr. Williams,NP,2026-01-13,07:00,15:00,Pediatrics,Pediatrics - Zone B
SCH00000148,STF1565, Smith,Resident,2026-01-13,07:00,15:00,Pediatrics,Pediatrics - Zone C
SCH00000149,STF9383,Dr. Smith,RN,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone B
SCH00000150,STF3292,Dr. Johnson,CNA,2026-01-13,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000151,STF2505,Dr. Brown,PA,2026-01-13,07:00,15:00,Pediatrics,Pediatrics - Zone B
SCH00000152,STF6629, Smith,LPN,2026-01-13,15:00,23:00,Pediatrics,Pediatrics - Zone B
SCH00000153,STF9596,Dr. Jones,NP,2026-01-13,15:00,23:00,Pediatrics,Pediatrics - Zone C
SCH00000154,STF2465,Dr. Williams,Physician,2026-01-13,15:00,23:00,Pediatrics,Pediatrics - Zone A
SCH00000155,STF4725, Jones,Physician,2026-01-13,07:00,19:00,Pediatrics,Pediatrics - Zone C
SCH00000156,STF1396,Dr. Smith,RN,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone B
SCH00000157,STF4588, Williams,Physician,2026-01-13,19:00,07:00,Pediatrics,Pediatrics - Zone A
SCH00000158,STF6291, Williams,NP,2026-01-13,15:00,23:00,Pediatrics,Pediatrics - Zone A
SCH00000159,STF1385,Dr. Johnson,NP,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000160,STF1589,Nurse Smith,Physician,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000161,STF6724, Johnson,LPN,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000162,STF7507,Dr. Jones,Physician,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000163,STF5610, Brown,Resident,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000164,STF3619,Nurse Johnson,Physician,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000165,STF6358, Williams,Resident,2026-01-13,15:00,23:00,Emergency Department,Emergency Department - Zone A
SCH00000166,STF8399, Jones,RN,2026-01-13,15:00,23:00,Emergency Department,Emergency Department - Zone C
SCH00000167,STF7646,Dr. Brown,Physician,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000168,STF2748, Williams,Physician,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000169,STF4511,Nurse Smith,Physical Therapist,2026-01-13,07:00,15:00,Emergency Department,Emergency Department - Zone B
SCH00000170,STF4765, Smith,Physical Therapist,2026-01-13,07:00,15:00,Emergency Department,Emergency Department - Zone A
SCH00000171,STF6077,Nurse Johnson,RN,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000172,STF9185,Nurse Jones,NP,2026-01-13,07:00,15:00,Emergency Department,Emergency Department - Zone B
SCH00000173,STF3707, Williams,Pharmacist,2026-01-13,15:00,23:00,Emergency Department,Emergency Department - Zone C
SCH00000174,STF5071,Dr. Smith,LPN,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000175,STF1819,Nurse Brown,RN,2026-01-13,07:00,15:00,Emergency Department,Emergency Department - Zone A
SCH00000176,STF7249,Dr. Williams,Physical Therapist,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000177,STF4527,Nurse Smith,Physician,2026-01-13,15:00,23:00,Emergency Department,Emergency Department - Zone C
SCH00000178,STF5587,Dr. Smith,NP,2026-01-13,07:00,19:00,Emergency Department,Emergency Department - Zone B
SCH00000179,STF5948,Dr. Smith,CNA,2026-01-13,07:00,15:00,Emergency Department,Emergency Department - Zone B
SCH00000180,STF1497,Dr. Smith,Pharmacist,2026-01-13,19:00,07:00,Emergency Department,Emergency Department - Zone A
SCH00000181,STF4847, Williams,Pharmacist,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone C
SCH00000182,STF5424,Dr. Johnson,RN,2026-01-13,23:00,07:00,Emergency Department,Emergency Department - Zone B
SCH00000183,STF4530,Nurse Smith,LPN,2026-01-13,15:00,23:00,Emergency Department,Emergency Department - Zone C
SCH00000184,STF9149,Dr. Smith,NP,2026-01-13,15:00,23:00,Telemetry,Telemetry - Zone B
SCH00000185,STF1721,Nurse Brown,LPN,2026-01-13,07:00,15:00,Telemetry,Telemetry - Zone C
SCH00000186,STF4321,Nurse Johnson,Resident,2026-01-13,07:00,19:00,Telemetry,Telemetry - Zone C
SCH00000187,STF4847,Dr. Jones,Pharmacist,2026-01-13,07:00,19:00,Telemetry,Telemetry - Zone C
SCH00000188,STF8132, Smith,Respiratory Therapist,2026-01-13,15:00,23:00,Telemetry,Telemetry - Zone A
SCH00000189,STF5694,Nurse Brown,PA,2026-01-13,07:00,19:00,Telemetry,Telemetry - Zone C
SCH00000190,STF8741, Williams,Respiratory Therapist,2026-01-13,19:00,07:00,Telemetry,Telemetry - Zone B
SCH00000191,STF9859, Williams,CNA,2026-01-13,07:00,15:00,Telemetry,Telemetry - Zone C
SCH00000192,STF7668,Nurse Brown,CNA,2026-01-13,23:00,07:00,Telemetry,Telemetry - Zone B
SCH00000193,STF6692,Nurse Jones,Resident,2026-01-13,19:00,07:00,Telemetry,Telemetry - Zone C
SCH00000194,STF7681, Williams,PA,2026-01-13,15:00,23:00,Telemetry,Telemetry - Zone A
SCH00000195,STF6452, Johnson,PA,2026-01-13,15:00,23:00,Oncology,Oncology - Zone B
SCH00000196,STF1700,Dr. Jones,PA,2026-01-13,23:00,07:00,Oncology,Oncology - Zone C
SCH00000197,STF6597,Dr. Johnson,Respiratory Therapist,2026-01-13,19:00,07:00,Oncology,Oncology - Zone C
SCH00000198,STF7493, Jones,LPN,2026-01-13,15:00,23:00,Oncology,Oncology - Zone A
SCH00000199,STF1687,Dr. Williams,Respiratory Therapist,2026-01-13,07:00,19:00,Oncology,Oncology - Zone C
SCH00000200,STF3698,Dr. Williams,Physician,2026-01-13,07:00,15:00,Oncology,Oncology - Zone B
SCH00000201,STF7116, Brown,Respiratory Therapist,2026-01-13,15:00,23:00,Oncology,Oncology - Zone C
SCH00000202,STF4589,Nurse Smith,Physical Therapist,2026-01-13,07:00,15:00,Oncology,Oncology - Zone C
SCH00000203,STF4699,Dr. Smith,Pharmacist,2026-01-13,19:00,07:00,Oncology,Oncology - Zone C
SCH00000204,STF9265,Dr. Williams,LPN,2026-01-13,15:00,23:00,Oncology,Oncology - Zone A
SCH00000205,STF4962, Smith,NP,2026-01-13,07:00,15:00,Oncology,Oncology - Zone A
SCH00000206,STF4129,Nurse Smith,RN,2026-01-13,07:00,19:00,Oncology,Oncology - Zone A
SCH00000207,STF4392,Nurse Brown,CNA,2026-01-13,07:00,19:00,Oncology,Oncology - Zone A
SCH00000208,STF2948,Nurse Smith,NP,2026-01-13,07:00,15:00,Oncology,Oncology - Zone C
SCH00000209,STF6622,Nurse Brown,NP,2026-01-13,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000210,STF8838, Brown,Physical Therapist,2026-01-13,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000211,STF1516,Dr. Williams,Pharmacist,2026-01-13,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000212,STF8759,Nurse Jones,NP,2026-01-13,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000213,STF6751,Dr. Brown,Pharmacist,2026-01-13,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000214,STF2422,Dr. Smith,Pharmacist,2026-01-13,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone C
SCH00000215,STF5020, Williams,LPN,2026-01-13,15:00,23:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000216,STF4954,Nurse Williams,Physical Therapist,2026-01-13,15:00,23:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000217,STF8392,Dr. Smith,Physician,2026-01-13,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000218,STF3103,Nurse Smith,Physical Therapist,2026-01-13,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone C
SCH00000219,STF9225, Jones,CNA,2026-01-13,15:00,23:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000220,STF7359, Smith,Respiratory Therapist,2026-01-13,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000221,STF9466,Nurse Johnson,Pharmacist,2026-01-13,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000222,STF1652,Nurse Smith,Resident,2026-01-13,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000223,STF3536,Nurse Johnson,LPN,2026-01-13,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000224,STF1093,Dr. Williams,NP,2026-01-13,19:00,07:00,Step-Down Unit,Step-Down Unit - Zone B
SCH00000225,STF3992, Brown,Physician,2026-01-13,07:00,15:00,Step-Down Unit,Step-Down Unit - Zone C
SCH00000226,STF4747,Dr. Johnson,Pharmacist,2026-01-13,07:00,19:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000227,STF3162,Nurse Brown,Physical Therapist,2026-01-13,23:00,07:00,Step-Down Unit,Step-Down Unit - Zone A
SCH00000228,STF8044,Nurse Jones,RN,2026-01-14,23:00,07:00,ICU,ICU - Zone C
SCH00000229,STF2742,Nurse Brown,NP,2026-01-14,15:00,23:00,ICU,ICU - Zone A
SCH00000230,STF7918,Nurse Williams,LPN,2026-01-14,07:00,19:00,ICU,ICU - Zone A
SCH00000231,STF8776,Dr. Smith,NP,2026-01-14,23:00,07:00,ICU,ICU - Zone A
SCH00000232,STF1395,Dr. Johnson,CNA,2026-01-14,07:00,19:00,ICU,ICU - Zone C
SCH00000233,STF8308,Nurse Brown,Respiratory Therapist,2026-01-14,07:00,15:00,ICU,ICU - Zone C
SCH00000234,STF2094,Dr. Jones,CNA,2026-01-14,23:00,07:00,ICU,ICU - Zone B
SCH00000235,STF1651,Nurse Johnson,Physician,2026-01-14,19:00,07:00,ICU,ICU - Zone A
SCH00000236,STF7401, Smith,RN,2026-01-14,07:00,15:00,ICU,ICU - Zone A
SCH00000237,STF2847, Smith,Respiratory Therapist,2026-01-14,07:00,15:00,ICU,ICU - Zone C
SCH00000238,STF5969,Nurse Johnson,CNA,2026-01-14,07:00,15:00,ICU,ICU - Zone A
SCH00000239,STF4091,Dr. Smith,Pharmacist,2026-01-14,15:00,23:00,ICU,ICU - Zone B
SCH00000240,STF3824, Jones,NP,2026-01-14,23:00,07:00,ICU,ICU - Zone C
SCH00000241,STF2161,Dr. Smith,CNA,2026-01-14,19:00,07:00,ICU,ICU - Zone C
